"","Name","Location","Year","Kilometers_Driven","Owner_Type","Mileage","Engine","Power","Seats","Price","Fuel_TypeDiesel","Fuel_TypeElectric","Fuel_TypePetrol","TransmissionManual","Age"
"1516","Honda Amaze SX i-DTEC","Kolkata",2014,36000,"First",258,1498,986,5,3.25,1,0,0,1,10
"1517","Volkswagen Passat Diesel Highline 2.0 TDI","Chennai",2011,95000,"Second",1833,1968,1677,5,8.5,1,0,0,0,13
"1518","Hyundai Elantra CRDi SX AT","Mumbai",2013,51000,"First",195,1582,12624,5,8.75,1,0,0,0,11
"1519","Maruti Wagon R VXI BS IV","Kochi",2011,36411,"First",189,998,671,5,3.08,0,0,1,1,13
"1520","Land Rover Discovery Sport TD4 HSE 7S","Mumbai",2017,40000,"First",1281,1999,14831,7,41.5,1,0,0,0,7
"1521","Honda City i VTEC SV","Pune",2016,27300,"First",178,1497,1173,5,7,0,0,1,1,8
"1522","Mercedes-Benz New C-Class C 200 Avantgarde Edition C","Kochi",2011,29813,"Second",1474,1991,18103,5,11.5,0,0,1,0,13
"1523","Maruti Wagon R LX BS IV","Pune",2011,71000,"First",2051,998,6704,5,2.6,0,0,1,1,13
"1524","Hyundai Verna 1.6 CRDI","Kolkata",2014,32000,"First",2232,1582,1263,5,4.3,1,0,0,1,10
"1525","Volkswagen Tiguan 2.0 TDI Highline","Jaipur",2017,50510,"First",1706,1968,141,5,24.9,1,0,0,0,7
"1526","BMW X1 sDrive 20d Exclusive","Pune",2011,102000,"First",1506,1995,177,5,13.75,1,0,0,0,13
"1527","Hyundai Grand i10 1.2 CRDi Sportz Option","Kolkata",2014,42277,"First",240,1186,7397,5,3.85,1,0,0,1,10
"1528","Mercedes-Benz E-Class E250 CDI Avantgrade","Mumbai",2014,46000,"First",130,2143,2011,5,23.25,1,0,0,0,10
"1529","Hyundai Grand i10 Asta Option","Bangalore",2015,50000,"First",189,1197,82,5,5.75,0,0,1,1,9
"1530","Hyundai i10 Magna 1.2","Mumbai",2008,62000,"Second",2036,1197,789,5,1.65,0,0,1,1,16
"1531","Volkswagen Jetta 2012-2014 2.0L TDI Comfortline","Mumbai",2012,78000,"First",1933,1968,1381,5,6.5,1,0,0,1,12
"1532","Skoda Yeti Elegance","Chennai",2011,79000,"First",1767,1968,13808,5,7.5,1,0,0,1,13
"1533","Audi Q7 45 TDI Quattro Premium Plus","Kochi",2019,6773,"First",1475,2967,245,7,72.94,1,0,0,0,5
"1534","Toyota Fortuner 3.0 Diesel","Chennai",2010,135000,"Second",115,2982,171,7,11,1,0,0,1,14
"1535","Maruti Wagon R VXI Minor ABS","Kochi",2013,36716,"First",189,1061,67,5,3.02,0,0,1,1,11
"1536","Hyundai EON Era","Coimbatore",2013,65060,"First",211,814,552,5,3.32,0,0,1,1,11
"1537","Honda Brio S MT","Delhi",2013,33000,"First",194,1198,868,5,3.24,0,0,1,1,11
"1538","Maruti Alto 800 VXI","Kolkata",2015,11110,"First",2274,796,473,5,2.35,0,0,1,1,9
"1539","Mahindra Bolero ZLX","Jaipur",2013,63000,"First",1596,2523,621,7,5.5,1,0,0,1,11
"1540","Honda City i VTEC SV","Mumbai",2015,27030,"First",178,1497,1173,5,6.75,0,0,1,1,9
"1541","Skoda Rapid 1.6 MPI Elegance Black Package","Mumbai",2015,19600,"First",150,1598,10352,5,6.15,0,0,1,1,9
"1542","Maruti Swift VVT VXI","Pune",2016,27755,"First",220,1197,8180,5,5.45,0,0,1,1,8
"1543","Hyundai EON Magna Plus","Hyderabad",2013,20000,"Second",211,814,552,5,2.3,0,0,1,1,11
"1544","Maruti Swift Dzire ZXI","Kochi",2015,24782,"First",2085,1197,8314,5,6.21,0,0,1,1,9
"1545","Nissan Micra XV CVT","Coimbatore",2014,47303,"First",1934,1198,76,5,5.21,0,0,1,0,10
"1546","Audi Q7 4.2 FSI quattro","Delhi",2008,71000,"First",83,4134,250,7,11.99,0,0,1,0,16
"1547","Maruti Swift Vdi BSIII","Pune",2010,135000,"First",178,1248,75,5,3.1,1,0,0,1,14
"1548","Tata Xenon XT EX 4X2","Jaipur",2017,1000,"First",1349,2179,13803,5,7.5,1,0,0,1,7
"1549","Volkswagen Polo 1.5 TDI Comfortline","Kolkata",2016,29000,"First",2014,1498,888,5,4,1,0,0,1,8
"1550","Honda City i VTEC SV","Kochi",2016,36367,"First",178,1497,1173,5,7.73,0,0,1,1,8
"1551","Honda City i VTEC V","Bangalore",2015,38000,"First",174,1497,1173,5,7.8,0,0,1,1,9
"1552","Maruti 800 AC BSIII","Hyderabad",2011,83969,"First",161,796,37,4,1.3,0,0,1,1,13
"1553","Volkswagen Polo 1.5 TDI Trendline","Jaipur",2014,82621,"First",2014,1498,888,5,4.42,1,0,0,1,10
"1554","Chevrolet Captiva LTZ VCDi","Pune",2009,89000,"First",125,1991,1479,7,4,1,0,0,0,15
"1555","Mahindra XUV500 W10 2WD","Kolkata",2016,54000,"First",160,2179,140,7,13,1,0,0,1,8
"1556","Honda Amaze VX i-DTEC","Kochi",2015,61691,"First",258,1498,986,5,5.38,1,0,0,1,9
"1557","Hyundai i20 1.2 Sportz Option","Chennai",2011,32200,"Second",170,1197,80,5,3.25,0,0,1,1,13
"1558","Maruti Wagon R AMT VXI","Jaipur",2016,68630,"First",2051,998,67,5,3.87,0,0,1,0,8
"1559","Volkswagen Jetta 2013-2015 2.0L TDI Highline AT","Mumbai",2014,61000,"Second",1696,1968,13803,5,8.25,1,0,0,0,10
"1560","Maruti Ciaz 1.4 Zeta","Mumbai",2018,32644,"First",2073,1373,911,5,9.28,0,0,1,1,6
"1561","Mahindra Scorpio 2009-2014 VLX 4WD AT 7S BSIV","Delhi",2012,85000,"First",1179,2179,120,7,6.25,1,0,0,0,12
"1562","Chevrolet Aveo U-VA 1.2 LS","Mumbai",2008,75000,"Second",1526,1150,749,5,1.15,0,0,1,1,16
"1563","Maruti Ciaz ZXi Option","Kochi",2016,40347,"First",2073,1373,912,5,7.8,0,0,1,1,8
"1564","Hyundai i20 1.4 CRDi Asta","Hyderabad",2012,60788,"First",230,1396,90,5,4.5,1,0,0,1,12
"1565","Honda Jazz 1.2 SV i VTEC","Kochi",2018,18664,"First",187,1199,887,5,7.56,0,0,1,1,6
"1566","Mahindra XUV500 W10 2WD","Coimbatore",2017,57847,"First",160,2179,140,7,16.08,1,0,0,1,7
"1567","Hyundai i20 1.2 Sportz","Bangalore",2012,52237,"First",170,1197,80,5,4.5,0,0,1,1,12
"1568","Hyundai Verna 1.6 SX","Chennai",2012,128000,"First",2232,1582,12632,5,5,1,0,0,1,12
"1569","Hyundai i10 Era 1.1","Delhi",2011,54000,"First",1981,1086,6805,5,2.2,0,0,1,1,13
"1570","Maruti Celerio VXI AT","Bangalore",2014,49800,"First",231,998,6704,5,4,0,0,1,0,10
"1571","Skoda Fabia 1.2 TDI Ambition","Kolkata",2012,98000,"First",2086,1199,739,5,2.51,1,0,0,1,12
"1572","Maruti Swift VDI BSIV","Delhi",2015,60095,"First",252,1248,74,5,4.75,1,0,0,1,9
"1573","Hyundai i10 Magna(O) with Sun Roof","Pune",2008,68000,"Second",160,1086,667,5,2,0,0,1,1,16
"1574","Hyundai i10 Magna 1.2","Jaipur",2010,81402,"Second",2036,1197,789,5,2.1,0,0,1,1,14
"1575","Ford Ecosport 1.5 Ti VCT AT Titanium","Mumbai",2013,38000,"First",165,1499,110,5,6.25,0,0,1,0,11
"1576","Mercedes-Benz E-Class 2009-2013 E350 CDI Avantgarde","Kochi",2011,92239,"Second",115,2987,210,5,10.6,1,0,0,0,13
"1577","Maruti Swift VDI BSIV","Ahmedabad",2017,49224,"First",252,1248,74,5,6,1,0,0,1,7
"1578","Maruti 800 Std BSIII","Jaipur",2004,12000,"Second",161,796,37,4,0.45,0,0,1,1,20
"1579","Maruti Swift Lxi BSIII","Pune",2010,54898,"Third",161,1298,882,5,2.5,0,0,1,1,14
"1580","Hyundai Creta 1.6 SX Plus Dual Tone Petrol","Mumbai",2018,2500,"First",1529,1591,1213,5,12.75,0,0,1,1,6
"1581","BMW X1 M Sport sDrive 20d","Kochi",2017,32838,"First",1705,1995,190,5,30.29,1,0,0,0,7
"1582","Ford Ikon 1.3 Flair","Hyderabad",2006,27076,"First",138,1299,70,5,1.6,0,0,1,1,18
"1583","Ford Ecosport 1.5 DV5 MT Titanium Optional","Kochi",2017,75445,"First",227,1498,8984,5,7.54,1,0,0,1,7
"1584","Maruti Ciaz VXi Plus","Kochi",2015,46601,"First",2073,1373,911,5,6.84,0,0,1,1,9
"1585","Volkswagen Passat Diesel Highline 2.0 TDI","Kolkata",2012,72000,"First",1833,1968,1677,5,6,1,0,0,0,12
"1586","Honda Jazz 1.5 VX i DTEC","Pune",2017,27000,"First",273,1498,986,5,8,1,0,0,1,7
"1587","Audi A4 35 TDI Premium","Coimbatore",2016,68193,"First",1711,1968,17433,5,24.74,1,0,0,0,8
"1588","Hyundai Grand i10 CRDi Sportz Celebration Edition","Kochi",2017,34429,"First",240,1120,70,5,5.5,1,0,0,1,7
"1589","Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury","Delhi",2013,46000,"First",120,2987,224,7,36,1,0,0,0,11
"1590","Toyota Innova 2.5 G (Diesel) 7 Seater","Coimbatore",2013,80544,"First",1299,2494,1006,7,11.79,1,0,0,1,11
"1591","Nissan Sunny 2011-2014 XL","Jaipur",2011,42000,"Second",1695,1498,977,5,3,0,0,1,1,13
"1592","Skoda Laura Ambiente 2.0 TDI CR AT","Bangalore",2011,94821,"Second",200,1968,1381,5,6.75,1,0,0,0,13
"1593","Chevrolet Aveo 1.4 LS","Jaipur",2006,100000,"First",1449,1399,927,5,1.4,0,0,1,1,18
"1594","Honda Mobilio V i DTEC","Mumbai",2014,57000,"First",242,1498,986,7,5.75,1,0,0,1,10
"1595","Maruti Ritz VDi","Hyderabad",2010,79894,"First",211,1248,739,5,3.4,1,0,0,1,14
"1596","Volkswagen Polo Petrol Highline 1.2L","Coimbatore",2011,44748,"Second",1647,1198,739,5,4.89,0,0,1,1,13
"1597","Nissan Terrano XL","Mumbai",2013,31000,"First",1324,1598,1025,5,4.95,0,0,1,1,11
"1598","Maruti A-Star AT Vxi Aktiv","Coimbatore",2013,60587,"Second",1698,998,661,5,3.49,0,0,1,0,11
"1599","Honda City 1.5 S MT","Pune",2014,43772,"First",170,1497,118,5,6.35,0,0,1,1,10
"1600","Hyundai Grand i10 AT Asta","Coimbatore",2017,23576,"First",189,1197,82,5,7.08,0,0,1,0,7
"1601","Jaguar XE 2.0L Diesel Prestige","Hyderabad",2017,4000,"First",136,1999,177,5,38,1,0,0,0,7
"1602","Mahindra Scorpio VLX","Kolkata",2012,62000,"First",1205,2179,120,8,6.25,1,0,0,1,12
"1603","Mercedes-Benz New C-Class C 200 Kompressor Elegance AT","Mumbai",2011,36000,"First",1174,1796,186,5,10.15,0,0,1,0,13
"1604","Skoda Superb Elegance 1.8 TSI AT","Delhi",2014,80000,"First",137,1798,15775,5,10.75,0,0,1,0,10
"1605","Chevrolet Cruze LTZ AT","Pune",2012,137008,"First",181,1991,1479,4,4.65,1,0,0,0,12
"1606","Mahindra Scorpio VLX","Delhi",2010,61001,"First",1205,2179,120,8,4.75,1,0,0,1,14
"1607","Hyundai Verna 1.6 SX VTVT (O)","Coimbatore",2015,52191,"First",171,1591,1213,5,7.78,0,0,1,1,9
"1608","Hyundai i20 1.4 Asta CRDi with AVN","Hyderabad",2016,77076,"First",230,1396,90,5,6.75,1,0,0,1,8
"1609","Honda City ZX CVT","Hyderabad",2008,56000,"First",164,1497,78,5,2.99,0,0,1,0,16
"1610","Hyundai i10 Magna","Kolkata",2013,21000,"First",2036,1197,789,5,2.35,0,0,1,1,11
"1611","Honda Amaze S i-Dtech","Delhi",2013,89429,"First",258,1498,986,5,3.65,1,0,0,1,11
"1612","Maruti Wagon R LXI","Delhi",2012,45631,"Second",225,998,6704,5,2.74,0,0,1,1,12
"1613","Honda Brio S MT","Jaipur",2013,53959,"First",194,1198,868,5,3.5,0,0,1,1,11
"1614","Hyundai i20 1.2 Sportz Option","Kochi",2014,55804,"First",170,1197,80,5,4.76,0,0,1,1,10
"1615","Volkswagen Vento 2013-2015 1.6 Comfortline","Kochi",2016,25899,"First",1504,1598,1032,5,6.2,0,0,1,1,8
"1616","Skoda Octavia Rider 1.9 TDI MT","Pune",2008,82000,"Second",187,1896,66,5,2.35,1,0,0,1,16
"1617","Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde","Mumbai",2014,52000,"First",130,2143,204,5,24.5,1,0,0,0,10
"1618","Renault Duster Petrol RxL","Pune",2013,20000,"First",1324,1598,10257,5,6,0,0,1,1,11
"1619","Hyundai EON Sportz","Hyderabad",2017,31829,"First",211,814,552,5,3.65,0,0,1,1,7
"1620","Maruti Swift VXI","Coimbatore",2016,18094,"Second",186,1197,858,5,6.26,0,0,1,1,8
"1621","Audi Q5 3.0 TDI Quattro Technology","Mumbai",2015,11964,"First",1322,2967,2414,5,32.95,1,0,0,0,9
"1622","Hyundai i20 1.2 Spotz","Coimbatore",2018,22684,"First",186,1197,8183,5,7.8,0,0,1,1,6
"1623","Honda Brio S MT","Bangalore",2014,43521,"First",194,1198,868,5,4.25,0,0,1,1,10
"1624","Maruti Swift Dzire ZXi","Kochi",2014,49386,"First",175,1298,858,5,4.86,0,0,1,1,10
"1625","Hyundai Grand i10 1.2 Kappa Magna","Delhi",2017,12248,"First",189,1197,8186,5,4.9,0,0,1,1,7
"1626","Mahindra Xylo E8 ABS BS IV","Coimbatore",2014,67771,"First",1168,2498,112,8,7.06,1,0,0,1,10
"1627","Volkswagen Polo GTI","Delhi",2015,60007,"First",1721,1798,189,4,4.5,0,0,1,0,9
"1628","Maruti Alto K10 VXI","Coimbatore",2011,48624,"First",2407,998,671,5,3.22,0,0,1,1,13
"1629","Volkswagen Polo Diesel Comfortline 1.2L","Kolkata",2014,30000,"First",2207,1199,739,5,3.25,1,0,0,1,10
"1630","Hyundai Grand i10 Sportz","Delhi",2016,81605,"First",189,1197,82,5,4.53,0,0,1,1,8
"1631","Mercedes-Benz New C-Class C 220 CDI Elegance AT","Coimbatore",2017,32642,"First",1484,2143,170,5,34.78,1,0,0,0,7
"1632","Hyundai Verna 1.6 SX VTVT AT","Pune",2014,34200,"First",1574,1591,1213,5,6.5,0,0,1,0,10
"1633","Fiat Punto EVO 1.2 Emotion","Chennai",2010,72204,"First",157,1172,67,5,2.25,0,0,1,1,14
"1634","Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV","Pune",2011,156347,"Second",1299,2494,100,8,8,1,0,0,1,13
"1635","Mahindra TUV 300 2015-2019 mHAWK100 T8 AMT","Kochi",2017,47357,"First",1849,1493,100,7,8.37,1,0,0,0,7
"1636","Volkswagen Polo 1.5 TDI Comfortline","Coimbatore",2015,61738,"First",2014,1498,888,5,5.39,1,0,0,1,9
"1637","BMW 5 Series 520d Luxury Line","Kochi",2018,32586,"First",2248,1995,190,5,37.3,1,0,0,0,6
"1638","Mercedes-Benz GLE 350d","Coimbatore",2018,40129,"First",1157,2987,25479,5,70.8,1,0,0,0,6
"1639","Mercedes-Benz M-Class ML 350 CDI","Mumbai",2012,51000,"First",1174,2987,2548,5,22.25,1,0,0,0,12
"1640","Hyundai Grand i10 1.2 Kappa Sportz","Kochi",2018,10393,"First",189,1197,8186,5,6.03,0,0,1,1,6
"1641","Skoda Superb Elegance 1.8 TSI AT","Mumbai",2011,46000,"First",137,1798,15775,5,4.9,0,0,1,0,13
"1642","Hyundai i10 Sportz AT","Chennai",2013,21000,"First",1695,1197,789,5,3.96,0,0,1,0,11
"1643","Hyundai i20 1.4 CRDi Asta","Hyderabad",2011,113562,"First",230,1396,90,5,4.6,1,0,0,1,13
"1644","Mahindra Scorpio VLX","Mumbai",2011,100010,"Second",1205,2179,120,8,5.5,1,0,0,1,13
"1645","Honda Brio V MT","Mumbai",2013,63107,"First",194,1198,868,5,3.25,0,0,1,1,11
"1646","Hyundai i20 1.2 Magna Executive","Jaipur",2017,58500,"First",186,1197,8183,5,6.25,0,0,1,1,7
"1647","Ford Endeavour 4x2 XLT Limited Edition","Pune",2007,90000,"Fourth & Above",109,2499,143,7,3,1,0,0,1,17
"1648","Hyundai Verna CRDi SX","Chennai",2011,108242,"First",168,1493,110,5,4.25,1,0,0,1,13
"1649","Toyota Fortuner 3.0 Diesel","Pune",2011,146300,"First",115,2982,171,7,12.25,1,0,0,1,13
"1650","BMW X1 sDrive20d","Pune",2011,62943,"Second",1705,1995,184,5,10.95,1,0,0,0,13
"1651","Toyota Fortuner 4x2 AT","Delhi",2013,65000,"First",1255,2982,1685,7,16.5,1,0,0,0,11
"1652","Honda Amaze V CVT Petrol","Pune",2018,1700,"First",190,1199,8876,5,7.8,0,0,1,0,6
"1653","Hyundai i10 Era 1.1","Kochi",2013,34697,"First",1981,1086,6805,5,3.7,0,0,1,1,11
"1654","Hyundai i20 1.2 Sportz","Hyderabad",2012,58000,"First",170,1197,80,5,4,0,0,1,1,12
"1655","BMW 3 Series 320d GT Luxury Line","Mumbai",2015,32500,"First",1959,1995,18774,5,26.75,1,0,0,0,9
"1656","Audi Q3 35 TDI Quattro Premium Plus","Coimbatore",2016,58661,"First",1517,1968,181,5,28.03,1,0,0,0,8
"1657","Maruti Swift VXI Optional","Kochi",2017,37124,"First",204,1197,8180,5,5.44,0,0,1,1,7
"1658","Maruti Baleno Delta Automatic","Delhi",2017,44000,"First",214,1197,831,5,6.2,0,0,1,0,7
"1659","Hyundai Accent GLE","Kolkata",2005,45200,"First",132,1495,94,5,0.9,0,0,1,1,19
"1660","Maruti Ritz LXi","Mumbai",2016,11000,"First",185,1197,8580,5,3.95,0,0,1,1,8
"1661","Tata Nano Lx","Pune",2011,65000,"Second",260,624,35,4,0.44,0,0,1,1,13
"1662","Ford Figo Diesel EXI","Ahmedabad",2012,55005,"First",200,1399,68,5,2.75,1,0,0,1,12
"1663","Volkswagen Passat Diesel Highline 2.0 TDI","Hyderabad",2011,81650,"First",1833,1968,1677,5,7.5,1,0,0,0,13
"1664","Fiat Linea Emotion Pack (Diesel)","Chennai",2010,160000,"Second",190,1248,93,5,2.5,1,0,0,1,14
"1665","Mahindra Xylo D4","Hyderabad",2015,169000,"First",1495,2489,937,7,5,1,0,0,1,9
"1666","Maruti Wagon R VXI","Hyderabad",2013,67263,"First",189,998,671,5,3.6,0,0,1,1,11
"1667","Toyota Etios G Safety","Kochi",2012,44223,"First",176,1496,887,5,3.99,0,0,1,1,12
"1668","Hyundai Grand i10 Sportz","Coimbatore",2015,36840,"First",189,1197,82,5,5.64,0,0,1,1,9
"1669","Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV","Pune",2014,160000,"First",1299,2494,100,8,12,1,0,0,1,10
"1670","Tata Indica V2 DLS TC","Kolkata",2008,133000,"First",168,1405,62,5,0.7,1,0,0,1,16
"1671","BMW 3 Series 320d Sport Line","Mumbai",2015,69123,"First",1888,1995,184,5,19,1,0,0,0,9
"1672","Ford Endeavour 3.2 Titanium AT 4X4","Delhi",2017,38000,"First",1091,3198,197,7,30.48,1,0,0,0,7
"1673","Maruti Ciaz Zeta","Mumbai",2017,5500,"First",2156,1462,10325,5,8.2,0,0,1,1,7
"1674","Ford Figo 1.5D Titanium Plus MT","Kolkata",2015,1001,"First",2583,1498,99,5,7.55,1,0,0,1,9
"1675","Chevrolet Aveo U-VA 1.2 LS","Pune",2007,59000,"Third",1526,1150,749,5,0.99,0,0,1,1,17
"1676","Honda City 1.5 V AT","Delhi",2011,78256,"First",168,1497,118,5,4.15,0,0,1,0,13
"1677","Nissan Sunny XL","Chennai",2016,90000,"First",1695,1498,976,5,6.2,0,0,1,1,8
"1678","Maruti Swift Dzire VXI","Kolkata",2016,18000,"First",191,1197,858,5,4.4,0,0,1,1,8
"1679","Ford Figo Diesel Titanium","Kolkata",2012,60000,"First",200,1399,68,5,2.1,1,0,0,1,12
"1680","Fiat Grande Punto 1.3 Emotion (Diesel)","Jaipur",2011,130000,"First",203,1248,75,5,2.2,1,0,0,1,13
"1681","Hyundai Elite i20 Petrol Asta","Coimbatore",2018,32851,"First",186,1197,8186,5,8.34,0,0,1,1,6
"1682","Maruti Swift Dzire VDI","Kolkata",2014,32000,"First",234,1248,74,5,4.35,1,0,0,1,10
"1683","Ford Ecosport 1.5 DV5 MT Titanium","Hyderabad",2014,62700,"First",227,1498,8984,5,6.8,1,0,0,1,10
"1684","Maruti Swift Dzire VDi","Jaipur",2010,71000,"First",193,1248,739,5,3.3,1,0,0,1,14
"1685","Hyundai Grand i10 Sportz","Kochi",2016,19947,"First",189,1197,82,5,5.04,0,0,1,1,8
"1686","Ford Endeavour 3.0L 4X4 AT","Hyderabad",2012,91000,"First",114,2953,15386,7,9.2,1,0,0,0,12
"1687","Volkswagen Polo Diesel Highline 1.2L","Hyderabad",2014,74000,"First",2207,1199,739,5,5.7,1,0,0,1,10
"1688","Mahindra TUV 300 2015-2019 mHAWK100 T8","Kochi",2018,55594,"First",1849,1493,100,7,8.48,1,0,0,1,6
"1689","BMW X6 xDrive 40d","Hyderabad",2013,58000,"First",112,2993,306,4,48,1,0,0,0,11
"1690","Renault Duster 110PS Diesel RxZ","Hyderabad",2012,110224,"First",1901,1461,10845,5,6.1,1,0,0,1,12
"1691","Maruti Wagon R LXI","Ahmedabad",2010,21002,"First",225,998,6704,5,2.75,0,0,1,1,14
"1692","Maruti Ertiga SHVS VDI","Pune",2017,121000,"First",2452,1248,885,7,8,1,0,0,1,7
"1693","Maruti Alto LXi BSIII","Jaipur",2010,73513,"First",197,796,463,5,1.85,0,0,1,1,14
"1694","Maruti Wagon R AMT VXI Option","Jaipur",2015,34000,"First",2051,998,67,5,3.85,0,0,1,0,9
"1695","Maruti Eeco 7 Seater Standard","Coimbatore",2017,28371,"First",151,1196,73,7,4.74,0,0,1,1,7
"1696","Renault Duster 110PS Diesel RxL","Kochi",2013,74755,"First",196,1461,10845,5,5.63,1,0,0,1,11
"1697","Maruti Zen Estilo 1.1 LX BSIII","Kochi",2011,25805,"First",182,1061,64,5,2.62,0,0,1,1,13
"1698","Renault Duster Petrol RxL","Kochi",2015,82603,"First",1306,1598,10253,5,4.9,0,0,1,1,9
"1699","Honda Civic 2006-2010 1.8 S MT","Chennai",2006,110000,"First",135,1799,130,5,2.65,0,0,1,1,18
"1700","Mahindra XUV500 W8 2WD","Delhi",2012,88000,"First",160,2179,140,7,5.99,1,0,0,1,12
"1701","Mahindra Verito 1.5 D6 BSIV","Chennai",2011,110000,"Second",210,1461,641,5,2.4,1,0,0,1,13
"1702","Renault KWID Climber 1.0 MT","Delhi",2017,15000,"First",217,999,67,5,4.25,0,0,1,1,7
"1703","Porsche Cayenne Diesel","Mumbai",2013,70000,"First",1515,2967,240,5,40,1,0,0,0,11
"1704","Maruti Swift DDiS VDI","Pune",2008,150000,"Second",284,1248,74,5,2.7,1,0,0,1,16
"1705","Datsun GO T Option","Hyderabad",2016,19000,"First",2063,1198,67,5,2.99,0,0,1,1,8
"1706","Hyundai i20 1.2 Magna","Chennai",2011,37442,"First",185,1197,80,5,3.4,0,0,1,1,13
"1707","BMW 5 Series 2013-2017 520d Luxury Line","Coimbatore",2016,63111,"Second",1812,1995,190,5,30.8,1,0,0,0,8
"1708","Maruti Ertiga ZDI","Mumbai",2012,88000,"First",2077,1248,888,7,5.85,1,0,0,1,12
"1709","Hyundai Grand i10 Magna","Jaipur",2014,42355,"First",189,1197,82,5,4,0,0,1,1,10
"1710","BMW 3 Series 330i","Coimbatore",2011,75871,"First",943,2996,254,5,14.12,0,0,1,0,13
"1711","Chevrolet Cruze LTZ","Mumbai",2011,65000,"First",179,1998,1637,5,4.55,1,0,0,1,13
"1712","Mercedes-Benz M-Class ML 350 4Matic","Pune",2015,69000,"First",0,2987,165,5,38,1,0,0,0,9
"1713","Maruti Ritz LDi","Jaipur",2011,79232,"First",211,1248,739,5,2.9,1,0,0,1,13
"1714","Mercedes-Benz New C-Class C 200 Kompressor Elegance AT","Pune",2007,220000,"Second",1174,1796,186,5,6,0,0,1,0,17
"1715","Hyundai i20 1.2 Magna Executive","Kochi",2016,28470,"First",186,1197,8183,5,6.95,0,0,1,1,8
"1716","Hyundai EON 1.0 Kappa Magna Plus Optional","Kolkata",2014,9759,"First",203,998,6805,5,2.75,0,0,1,1,10
"1717","Maruti Swift VDI","Pune",2014,75216,"First",229,1248,74,5,5.1,1,0,0,1,10
"1718","Hyundai i20 Sportz 1.2","Chennai",2017,8000,"First",186,1197,8183,5,6.75,0,0,1,1,7
"1719","Maruti Ritz ZXi","Mumbai",2014,59451,"First",185,1197,8580,5,3.69,0,0,1,1,10
"1720","Maruti Swift VDI","Hyderabad",2013,53996,"First",229,1248,74,5,5.45,1,0,0,1,11
"1721","Honda WRV i-VTEC VX","Kochi",2018,15135,"First",175,1199,887,5,9.29,0,0,1,1,6
"1722","Hyundai Xcent 1.2 Kappa AT S Option","Chennai",2015,53000,"Second",169,1197,8186,5,4,0,0,1,0,9
"1723","Honda Amaze E i-Vtech","Kolkata",2013,40000,"First",180,1198,867,5,2.9,0,0,1,1,11
"1724","Hyundai Verna 1.6 SX VTVT (O)","Pune",2013,21107,"First",171,1591,1213,5,5.25,0,0,1,1,11
"1725","Honda City V MT","Mumbai",2014,56000,"First",168,1497,1163,5,5.75,0,0,1,1,10
"1726","Hyundai Creta 1.6 SX Plus Dual Tone Petrol","Coimbatore",2017,19623,"First",1529,1591,1213,5,13.12,0,0,1,1,7
"1727","Mahindra XUV500 W8 2WD","Kochi",2014,70963,"First",151,2179,140,7,7.83,1,0,0,1,10
"1728","Toyota Innova 2.5 V Diesel 7-seater","Mumbai",2013,51450,"First",128,2494,102,7,10.4,1,0,0,1,11
"1729","Maruti Swift VDI","Pune",2012,75000,"First",229,1248,74,5,4.35,1,0,0,1,12
"1730","Maruti Wagon R VXI AMT","Coimbatore",2017,37832,"First",225,998,67,5,5.23,0,0,1,0,7
"1731","Hyundai Grand i10 1.2 Kappa Asta","Coimbatore",2016,43041,"First",189,1197,8186,5,6.01,0,0,1,1,8
"1732","Honda Amaze VX i-DTEC","Hyderabad",2014,97236,"First",258,1498,986,5,4.4,1,0,0,1,10
"1733","BMW 3 Series 320d Highline","Chennai",2010,83000,"First",1607,1995,181,5,12.75,1,0,0,0,14
"1734","Ford Figo Petrol Titanium","Delhi",2011,65000,"First",156,1196,70,5,2.4,0,0,1,1,13
"1735","Volkswagen Ameo 1.2 MPI Trendline","Kochi",2018,46007,"First",170,1198,7375,5,5.71,0,0,1,1,6
"1736","Ford Ecosport 1.5 DV5 MT Trend","Kochi",2015,65925,"Second",227,1498,8984,5,5.49,1,0,0,1,9
"1737","Honda City 1.3 EXI","Pune",2004,73500,"Second",130,1343,90,5,1.3,0,0,1,1,20
"1738","Mahindra XUV500 W6 2WD","Kolkata",2014,55000,"First",160,2179,140,7,8.5,1,0,0,1,10
"1739","Toyota Fortuner 4x2 Manual","Delhi",2012,115000,"First",130,2982,1685,7,12.99,1,0,0,1,12
"1740","Hyundai Grand i10 1.2 Kappa Magna","Kolkata",2017,31184,"First",189,1197,8186,5,5,0,0,1,1,7
"1741","Maruti Dzire AMT ZDI Plus","Pune",2017,41747,"First",284,1248,7375,5,9,1,0,0,0,7
"1742","Maruti Swift VDI","Kochi",2016,38143,"First",229,1248,74,5,5.22,1,0,0,1,8
"1743","Volkswagen Polo Petrol Highline 1.2L","Pune",2012,19030,"First",1647,1198,739,5,3.8,0,0,1,1,12
"1744","Toyota Etios Liva 1.2 VX Dual Tone","Coimbatore",2019,20877,"First",1816,1197,789,5,7.27,0,0,1,1,5
